pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,42,3,171,3,,,,,496.3411869999982,,496.3328162999969,496.3411869999982,497.3412018999952,497.3412018999952,497.3412018999952,497.3412018999952,497.3412018999952,498.3412185000052,498.3412185000052,498.91658269999607,z,1,0.5552617000066675,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,43,0,172,0,,,,,498.92450310000277,,498.9183325000049,498.92450310000277,499.92599839999457,499.92599839999457,499.92599839999457,499.92599839999457,499.92599839999457,500.9252381999977,500.9252381999977,501.7140614999953,x,1,0.774838199999067,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,43,1,173,1,,,,,501.72531540000637,,501.7153583000036,501.72531540000637,502.72538319999876,502.72538319999876,502.72538319999876,502.72538319999876,502.72538319999876,503.7256728000066,503.7256728000066,504.6142538999993,v,1,0.8729246000002604,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,43,2,174,2,,,,,504.62641510000685,,504.61537660000613,504.62641510000685,505.6260945999966,505.6260945999966,505.6260945999966,505.6260945999966,505.6260945999966,506.62666710000485,506.62666710000485,507.4000783000083,c,1,0.7419341999921016,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,43,3,175,3,,,,,507.4115802000015,,507.4021300000022,507.4115802000015,508.40962439999566,508.40962439999566,508.40962439999566,508.40962439999566,508.40962439999566,509.41041860000405,509.41041860000405,509.95517679999466,z,1,0.5293935999943642,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,44,0,176,0,,,,,509.975932500005,,509.95636120000563,509.975932500005,510.96081210000557,510.96081210000557,510.96081210000557,510.96081210000557,510.9924255000078,511.96095239999704,511.96095239999704,512.7332675000071,x,1,0.7708159999892814,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,44,1,177,1,,,,,512.7440710999945,,512.7344352000073,512.7440710999945,513.7443728000071,513.7443728000071,513.7443728000071,513.7443728000071,513.7443728000071,514.7449993000046,514.7449993000046,515.7331951000087,v,1,0.9823062999930698,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,44,2,178,2,,,,,515.7444563000026,,515.7347593000013,515.7444563000026,516.7448130999983,516.7448130999983,516.7448130999983,516.7448130999983,516.7448130999983,517.7448985000083,517.7448985000083,518.5160613000044,c,1,0.7434457999916049,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,44,3,179,3,,,,,518.5291820999992,,518.5172781000001,518.5291820999992,519.5451552000013,519.5451552000013,519.5451552000013,519.5451552000013,519.5451552000013,520.5285773000069,520.5285773000069,521.1176521000016,z,1,0.5772891999949934,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,45,0,180,0,,,,,521.1315443000058,,521.1189295000077,521.1315443000058,522.1290719999961,522.1290719999961,522.1290719999961,522.1290719999961,522.1487867999967,523.1294042000081,523.1294042000081,523.9352843000088,x,1,0.7976441000064369,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,45,1,181,1,,,,,523.9461089999968,,523.9367035000032,523.9461089999968,524.9460628000088,524.9460628000088,524.9460628000088,524.9460628000088,524.9460628000088,525.9462848999974,525.9462848999974,526.8353289000079,v,1,0.8764028000005055,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,45,2,182,2,,,,,526.8465675000043,,526.8366668999952,526.8465675000043,527.8465724999987,527.8465724999987,527.8465724999987,527.8465724999987,527.8465724999987,528.847065599999,528.847065599999,529.6025232999964,c,1,0.7479489999968791,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,45,3,183,3,,,,,529.614161000005,,529.6036164999969,529.614161000005,530.6140918000019,530.6140918000019,530.6140918000019,530.6140918000019,530.6140918000019,531.6139342999959,531.6139342999959,532.1366410000046,z,1,0.5176812999998219,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,46,0,184,0,,,,,532.1478210000059,,532.137753300005,532.1478210000059,533.1481348999951,533.1481348999951,533.1481348999951,533.1481348999951,533.1481348999951,534.1475533000048,534.1475533000048,535.0030281000072,x,1,0.8474366000009468,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,46,1,185,1,,,,,535.0147359999974,,535.0042724999948,535.0147359999974,536.015635600008,536.015635600008,536.015635600008,536.015635600008,536.015635600008,537.0303375000076,537.0303375000076,537.9879810999992,v,1,0.9548019999929238,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,46,2,186,2,,,,,537.9985500000039,,537.9893903000047,537.9985500000039,538.998963799997,538.998963799997,538.998963799997,538.998963799997,538.998963799997,539.9986470000003,539.9986470000003,541.8709409000003,c,1,1.86317379999673,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,46,3,187,3,,,,,541.8826251999999,,541.8721019000077,541.8826251999999,542.8828735999996,542.8828735999996,542.8828735999996,542.8828735999996,542.8828735999996,543.8828477000061,543.8828477000061,544.5220179000025,z,1,0.6253448999923421,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,47,0,188,0,,,,,544.5330938999978,,544.5233981000056,544.5330938999978,545.5333455000073,545.5333455000073,545.5333455000073,545.5333455000073,545.5333455000073,546.5333730999992,546.5333730999992,547.505765199996,x,1,0.9572195999935502,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,47,1,189,1,,,,,547.5169644999987,,547.5071529999987,547.5169644999987,548.5174133999972,548.5174133999972,548.5174133999972,548.5174133999972,548.5174133999972,549.5176490000013,549.5176490000013,550.4557148000022,v,1,0.9261782999965362,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,47,2,190,2,,,,,550.4677215999982,,550.4568825000024,550.4677215999982,551.4677841999946,551.4677841999946,551.4677841999946,551.4677841999946,551.4677841999946,552.4678836999956,552.4678836999956,553.1918234000041,c,1,0.7225589000008767,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,47,3,191,3,,,,,553.2012854000059,,553.1930401999998,553.2012854000059,554.2012896000087,554.2012896000087,554.2012896000087,554.2012896000087,554.2012896000087,555.2016667999997,555.2016667999997,555.773921,z,1,0.556351999999606,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,48,0,192,0,,,,,555.7852184000076,,555.7751846000028,555.7852184000076,556.7851255999994,556.7851255999994,556.7851255999994,556.7851255999994,556.7851255999994,557.7853162999963,557.7853162999963,558.4573253999988,x,1,0.6585333999973955,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
